"Id","Version","ParsedVersion","TargetFramework","PrevTFM","ChangedTFM"
"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Mvc.Razor.Host","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Razor.Extensions","2.0.0","2000000000000000000000000",".NETFramework4.6","","true"
"Microsoft.AspNetCore.Mvc.Razor.Extensions","3.0.0","3000000000000000000000000",".NETStandard2.0",".NETFramework4.6","true"
"Microsoft.AspNetCore.Mvc.Razor","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Razor","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.NewtonsoftJson","3.0.0","3000000000000000000000000",".NETCoreApp3.0","","true"
"Microsoft.AspNetCore.Mvc.NewtonsoftJson","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Mvc.NewtonsoftJson","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Mvc.Localization","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Localization","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.Formatters.Xml.Extensions","1.1.0","1000000010000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Formatters.Xml.Extensions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.Formatters.Xml.Extensions","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Mvc.Formatters.Xml.Extensions","5.0.0","5000000000000000000000000","net5.0",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Mvc.Formatters.Xml","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Formatters.Xml","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.Formatters.Json","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Formatters.Json","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.DataAnnotations","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.DataAnnotations","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.Cors","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Cors","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.Core","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Core","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.ApiExplorer","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.ApiExplorer","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc.Api.Analyzers","2.2.0","2000000020000000000000000",".NETStandard1.3","","true"
"Microsoft.AspNetCore.Mvc.Analyzers","2.1.0","2000000010000000000000000",".NETStandard1.3","","true"
"Microsoft.AspNetCore.Mvc.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Mvc","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Mvc","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.MiddlewareAnalysis","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.MiddlewareAnalysis","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.MiddlewareAnalysis","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.MiddlewareAnalysis","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.MiddlewareAnalysis","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Metadata","3.0.0","3000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Metadata","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.Metadata","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Localization.Routing","1.1.0","1000000010000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Localization.Routing","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Localization","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Localization","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.JsonPatch.Net40","1.1.1","1000000010000000100000000",".NETFramework4.0","","true"
"Microsoft.AspNetCore.JsonPatch","1.0.0","1000000000000000000000000",".NETStandard1.1","","true"
"Microsoft.AspNetCore.JsonPatch","1.1.0","1000000010000000000000000",".NETFramework4.5.1",".NETStandard1.1","true"
"Microsoft.AspNetCore.JsonPatch","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.JsonPatch","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.Identity.UI","2.1.0","2000000010000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Identity.UI","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Identity.UI","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Identity.UI","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Identity.Specification.Tests","2.0.0","2000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Identity.Specification.Tests","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Identity.Specification.Tests","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Identity.MongoDB","1.0.1","1000000000000000100000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Identity.EntityFrameworkCore","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Identity.EntityFrameworkCore","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Identity.EntityFrameworkCore","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Identity.EntityFrameworkCore","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Identity.EntityFrameworkCore","5.0.0","5000000000000000000000000","net5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Identity","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Identity","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.HttpsPolicy","2.1.0","2000000010000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.HttpOverrides","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.HttpOverrides","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Http.Features","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Http.Features","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Http.Features","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Http.Features","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Http.Features","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Http.Extensions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Http.Extensions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Http.Connections.Common","1.0.0","1000000000000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Http.Connections.Common","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Http.Connections.Common","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Http.Connections.Common","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Http.Connections.Client","1.0.0","1000000000000000000000000",".NETCoreApp2.1","","true"
"Microsoft.AspNetCore.Http.Connections.Client","1.1.0","1000000010000000000000000",".NETCoreApp2.2",".NETCoreApp2.1","true"
"Microsoft.AspNetCore.Http.Connections.Client","3.0.0","3000000000000000000000000",".NETStandard2.0",".NETCoreApp2.2","true"
"Microsoft.AspNetCore.Http.Connections.Client","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.Http.Connections","1.0.0","1000000000000000000000000",".NETCoreApp2.1","","true"
"Microsoft.AspNetCore.Http.Connections","1.1.0","1000000010000000000000000",".NETCoreApp2.2",".NETCoreApp2.1","true"
"Microsoft.AspNetCore.Http.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Http.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Http","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Http","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Html.Abstractions","1.0.0","1000000000000000000000000",".NETStandard1.0","","true"
"Microsoft.AspNetCore.Html.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETStandard1.0","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","2.0.0","2000000000000000000000000",".NETFramework4.6.1",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETFramework4.6.1","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Hosting.WindowsServices","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Hosting.Server.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting.Server.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Hosting.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Hosting","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Hosting","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.HostFiltering","2.1.0","2000000010000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.HealthChecks","1.0.0","1000000000000000000000000",".NETCoreApp1.0","","true"
"Microsoft.AspNetCore.HeaderPropagation","3.0.0","3000000000000000000000000",".NETCoreApp3.0","","true"
"Microsoft.AspNetCore.HeaderPropagation","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.HeaderPropagation","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Diagnostics.HealthChecks","2.2.0","2000000020000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore","5.0.0","5000000000000000000000000",".NETCoreApp5.0",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Diagnostics.Elm","0.1.0","10000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Diagnostics.Abstractions","1.0.0","1000000000000000000000000",".NETStandard1.0","","true"
"Microsoft.AspNetCore.Diagnostics.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETStandard1.0","true"
"Microsoft.AspNetCore.Diagnostics","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.Diagnostics","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.SystemWeb","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection.SystemWeb","2.0.0","2000000000000000000000000",".NETFramework4.6.1",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.StackExchangeRedis","2.2.0","2000000020000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.DataProtection.StackExchangeRedis","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.DataProtection.Redis","0.1.0","10000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection.Redis","0.3.0","30000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.Extensions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection.Extensions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.Extensions","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.DataProtection.Extensions","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.DataProtection.Extensions","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.DataProtection.EntityFrameworkCore","2.2.0","2000000020000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.DataProtection.EntityFrameworkCore","3.0.0","3000000000000000000000000",".NETStandard2.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.DataProtection.AzureStorage","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection.AzureStorage","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.AzureKeyVault","2.1.0","2000000010000000000000000",".NETStandard2.0","","true"
"Microsoft.AspNetCore.DataProtection.Abstractions","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection.Abstractions","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection.Abstractions","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETStandard2.0","true"
"Microsoft.AspNetCore.DataProtection.Abstractions","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.DataProtection","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
"Microsoft.AspNetCore.DataProtection","2.0.0","2000000000000000000000000",".NETStandard2.0",".NETFramework4.5.1","true"
"Microsoft.AspNetCore.DataProtection","3.0.0","3000000000000000000000000",".NETCoreApp3.0",".NETStandard2.0","true"
"Microsoft.AspNetCore.DataProtection","3.1.2","3000000010000000200000000",".NETCoreApp3.1",".NETCoreApp3.0","true"
"Microsoft.AspNetCore.DataProtection","5.0.0","5000000000000000000000000",".NETFramework4.6.1",".NETCoreApp3.1","true"
"Microsoft.AspNetCore.Cryptography.KeyDerivation","1.0.0","1000000000000000000000000",".NETFramework4.5.1","","true"
